Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
02-Aug-2023,EQ,34.0,35.25,32.7,34.0,33.45,33.35,33.98,36.25,16.8,"5,62,44,806","1,91,10,03,108.25","46,673"
01-Aug-2023,EQ,33.75,34.85,33.6,33.65,34.0,34.0,34.33,36.25,16.8,"3,78,89,596","1,30,06,43,055.60","32,508"
31-Jul-2023,EQ,33.95,34.05,33.5,33.8,33.6,33.65,33.79,36.25,16.8,"1,35,11,625","45,65,16,288.00","15,589"
28-Jul-2023,EQ,34.2,34.25,33.55,34.1,33.75,33.8,33.85,36.25,16.5,"1,72,09,632","58,25,12,332.00","18,472"
27-Jul-2023,EQ,34.25,34.45,33.75,34.0,34.2,34.1,34.09,36.25,16.5,"1,83,03,864","62,40,46,754.55","18,478"
26-Jul-2023,EQ,33.65,34.4,33.25,33.45,34.05,34.0,33.89,36.25,16.5,"3,93,20,006","1,33,27,49,232.35","34,537"
25-Jul-2023,EQ,33.95,34.05,33.3,33.7,33.45,33.45,33.58,36.25,16.5,"1,88,25,097","63,22,08,561.35","21,155"
24-Jul-2023,EQ,34.5,34.9,33.5,34.25,33.75,33.7,34.29,36.25,16.5,"4,64,19,834","1,59,18,46,667.10","40,855"
21-Jul-2023,EQ,32.75,34.45,32.6,32.75,34.2,34.25,33.77,36.25,16.15,"8,39,60,146","2,83,52,70,587.05","60,326"
20-Jul-2023,EQ,33.4,33.9,32.55,33.3,32.8,32.75,33.31,36.25,16.15,"7,12,06,812","2,37,19,89,581.45","64,780"
19-Jul-2023,EQ,31.9,33.5,31.85,31.5,33.2,33.3,32.86,36.25,16.15,"16,47,17,041","5,41,33,89,003.70","1,37,488"
18-Jul-2023,EQ,32.25,32.3,31.05,32.0,31.7,31.5,31.54,36.25,16.15,"3,06,00,654","96,50,29,316.65","25,107"
17-Jul-2023,EQ,31.15,32.2,30.75,31.15,32.0,32.0,31.47,36.25,16.15,"3,75,99,630","1,18,31,19,934.05","25,872"
14-Jul-2023,EQ,30.65,31.3,29.85,30.45,31.15,31.15,30.69,36.25,15.7,"3,62,30,518","1,11,18,27,652.90","22,076"
13-Jul-2023,EQ,32.25,32.65,30.15,32.0,30.55,30.45,31.26,36.25,15.7,"5,16,50,670","1,61,47,34,864.85","36,830"
